Select,Brand,Brand Description,PN,Manufacturer PN,Desc,Category,Subcategory,MSRP,MAP - No Promos,MAP - With Promos,MAP - Just Promos,Market,BB,HD,LOWES,Is Active,On Display,Clearance,In Stock Flag,Get It Today Flag,Best Seller Flag,REGULAR,SALE,SPECIAL,ON SITE,OUT OF CART PRICE,Open Box,SCRATCH N DENT,RENEWED,Special Order,Last Chance,Coming Soon,Black Friday Flag,BLACKFRIDAY,LastChance,NEW_BOX,MinorImperfections,Scratch_Box
false,AMN,AMANA,1901A,1901A,Ice Machine Drain Pump Kit,ACCESSORIES,REFRIGERATOR ACCESSORIES,555.59,,,,,,,,Yes,false,false,false,false,false,$555.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,1903WH,1903WH,Rolling Laundry Supply Cart,ACCESSORIES,LAUNDRY ACCESSORIES,74.29,,,,,,,,Yes,false,false,false,false,false,$74.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,20313148A,,Gas Dryer Connector,ACCESSORIES,LAUNDRY ACCESSORIES,33.49,,,,,,,,Yes,false,false,false,false,false,$33.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,20313248A,,Gas Dryer Connector,ACCESSORIES,LAUNDRY ACCESSORIES,32.79,,,,,,,,Yes,false,false,false,false,false,$32.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,2048KITRC,,Gas Dryer Connector,ACCESSORIES,LAUNDRY ACCESSORIES,45.99,,,,,,,,Yes,false,false,false,false,false,$45.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,2179404KRA,,Refrigerator Beverage Rack,ACCESSORIES,REFRIGERATOR ACCESSORIES,25.09,,,,,,,,Yes,false,false,false,false,false,$25.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,2254352A,2254352A,"Refrigerator Ice Pan, White",ACCESSORIES,REFRIGERATOR ACCESSORIES,18.59,,,,,,,,Yes,false,false,false,false,false,$18.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,261827,261827,Stainless Steel Backsplash,ACCESSORIES,ELECTRIC RANGE ACCESSORIES,178.49,,,,,,,,Yes,false,false,false,false,false,$178.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,279127,,Dryer Caster Wheel Kit,ACCESSORIES,LAUNDRY ACCESSORIES,50.19,,,,,,,,Yes,false,false,false,false,false,$50.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,279823,,Washer/Dryer Side Venting Kit,ACCESSORIES,LAUNDRY ACCESSORIES,75.99,,,,,,,,Yes,false,false,false,false,false,$75.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,285320,285320,Washing Machine Siphon Break Assembly,ACCESSORIES,LAUNDRY ACCESSORIES,39.99,,,,,,,,Yes,false,false,false,false,false,$39.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,285452A,285452A,Washing Machine Inlet Hose Screens,ACCESSORIES,LAUNDRY ACCESSORIES,5.49,,,,,,,,Yes,false,false,false,false,false,$5.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,285666,285666,Washing Machine Drain Hose,ACCESSORIES,LAUNDRY ACCESSORIES,54.99,,,,,,,,Yes,false,false,false,false,false,$54.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,285702,285702,Top Load Washer External Drain Hose,ACCESSORIES,LAUNDRY ACCESSORIES,32.79,,,,,,,,Yes,false,false,false,false,false,$32.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,285863,285863,Washer Drain Hose Extension Kit,ACCESSORIES,LAUNDRY ACCESSORIES,18.59,,,,,,,,Yes,false,false,false,false,false,$18.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,30313148,,Freestanding Range Gas Connector,ACCESSORIES,GAS RANGE ACCESSORIES,39.99,,,,,,,,Yes,false,false,false,false,false,$39.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,3048KITRC,30-48KITRC,Gas Range Connector Kit,ACCESSORIES,GAS RANGE ACCESSORIES,46.49,,,,,,,,Yes,false,false,false,false,false,$46.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,3370993RB,3370993RB,Dishwasher Silverware Basket,ACCESSORIES,DISHWASHER ACCESSORIES,15.49,,,,,,,,Yes,false,false,false,false,false,$15.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,3385556,3385556,Tall Tub Dishwasher Drain Hose Extension,ACCESSORIES,DISHWASHER ACCESSORIES,21.89,,,,,,,,Yes,false,false,false,false,false,$21.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,3404351,3404351,Dryer Drying Rack,ACCESSORIES,LAUNDRY ACCESSORIES,43.49,,,,,,,,Yes,false,false,false,false,false,$43.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,3406839,3406839,"Dryer Drying Rack, White",ACCESSORIES,LAUNDRY ACCESSORIES,67.99,,,,,,,,Yes,false,false,false,false,false,$67.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,40922,40922,Front Load Washer Outer Drain Hose Extension Kit,ACCESSORIES,LAUNDRY ACCESSORIES,34.49,,,,,,,,Yes,false,false,false,false,false,$34.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,4210463RW,4210463RW,Appliance Multi-Use Cleaning Brush,ACCESSORIES,REFRIGERATOR ACCESSORIES,19.79,,,,,,,,Yes,false,false,false,false,false,$19.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,4211300,,Disposer Splash Guard,ACCESSORIES,DISPOSER / DISPENSER ACCESSORIES,13.09,,,,,,,,Yes,false,false,false,false,false,$13.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,4211615,,Disposer Splash Guard,ACCESSORIES,DISPOSER / DISPENSER ACCESSORIES,16.39,,,,,,,,Yes,false,false,false,false,false,$16.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,4317824,4317824,Dishwasher Power Cord,ACCESSORIES,MISC ACCESSORIES,17.29,,,,,,,,Yes,false,false,false,false,false,$17.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,4358853,4358853,Range Hood and Over-the-Range Microwave Grease Filter,ACCESSORIES,MICROWAVE ACCESSORIES,14.19,,,,,,,,Yes,false,false,false,false,false,$14.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,4378484,4378484,Refrigerator Egg Tray,ACCESSORIES,REFRIGERATOR ACCESSORIES,17.99,,,,,,,,Yes,false,false,false,false,false,$17.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,4378577,4378577,Pizza Baking Stone,ACCESSORIES,ELECTRIC RANGE ACCESSORIES,37.19,,,,,,,,Yes,false,false,false,false,false,$37.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,4378581,4378581,Range Hood Charcoal Filter,ACCESSORIES,HOOD ACCESSORIES,32.79,,,,,,,,Yes,false,false,false,false,false,$32.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,4378968,4378968,Dishwasher Floor Mounting Kit,ACCESSORIES,MISC ACCESSORIES,34.49,,,,,,,,Yes,false,false,false,false,false,$34.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,4387828A,,Refrigerator Door Hinge Spacer,ACCESSORIES,REFRIGERATOR ACCESSORIES,8.79,,,,,,,,Yes,false,false,false,false,false,$8.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,4392065RC,4392065RC,Dryer Repair Kit,ACCESSORIES,LAUNDRY ACCESSORIES,54.59,,,,,,,,Yes,false,false,false,false,false,$54.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,4392067RC,4392067RC,Dryer Repair Kit,ACCESSORIES,LAUNDRY ACCESSORIES,80.79,,,,,,,,Yes,false,false,false,false,false,$80.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,4392892,4392892,In-The-Wall Dryer Vent Periscope,ACCESSORIES,LAUNDRY ACCESSORIES,125.49,,,,,,,,Yes,false,false,false,false,false,$125.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,4392899,4392899,Biscuit Appliance Touchup Paint,ACCESSORIES,MISC ACCESSORIES,8.99,,,,,,,,Yes,false,false,false,false,false,$8.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,4396004,4396004,Dryer Exhaust Duct,ACCESSORIES,LAUNDRY ACCESSORIES,13.69,,,,,,,,Yes,false,false,false,false,false,$13.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,AMN,AMANA,4396005,4396005,Dryer Exhaust Wall Elbow,ACCESSORIES,LAUNDRY ACCESSORIES,10.89,,,,,,,,Yes,false,false,false,false,false,$10.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
