Select,Brand,Brand Description,PN,Manufacturer PN,Desc,Category,Subcategory,MSRP,MAP - No Promos,MAP - With Promos,MAP - Just Promos,Market,BB,HD,LOWES,Is Active,On Display,Clearance,In Stock Flag,Get It Today Flag,Best Seller Flag,REGULAR,SALE,SPECIAL,ON SITE,OUT OF CART PRICE,Open Box,SCRATCH N DENT,RENEWED,Special Order,Last Chance,Coming Soon,Black Friday Flag,BLACKFRIDAY,LastChance,NEW_BOX,MinorImperfections,Scratch_Box
false,BEKO,BEKO,BBBF2410,BBBF2410,"24"" Freezer Bottom Built-In Refrigerator",REFRIGERATORS,BOTTOM FREEZER BUILT IN REFRIGERATOR,,,,,,,,,Yes,false,false,true,false,false,"$2,299.99",$799,Call for Our Best Price,Yes,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,BEKO,BEKO,BBBF2410IM,BBBF2410IM,"24"" Freezer Bottom Built-In Refrigerator with Auto Ice Maker",REFRIGERATORS,BOTTOM FREEZER BUILT IN REFRIGERATOR,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,BEKO,BEKO,BBBF2410IM2,BBBF2410IM2,"24"" Bottom Freezer Built-In Refrigerator",REFRIGERATORS,BOTTOM FREEZER BUILT IN REFRIGERATOR,,2799.0,2799.0,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,"$2,799",Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,BEKO,BEKO,BBBF3019IMWE,BBBF3019IMWE,"30"" Freezer Bottom Built-In Refrigerator with Auto Ice Maker and Internal Water Dispenser",REFRIGERATORS,BOTTOM FREEZER BUILT IN REFRIGERATOR,,5999.0,5999.0,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,"$5,999",Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,BEKO,BEKO,BCTG24400SS,BCTG24400SS,"24"" Built-In Gas Cooktop with 4 Burners",GAS RANGES,COOKTOPS (GAS),,999.0,999.0,,,,,,Yes,false,false,true,false,false,$899.99,$299,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,BEKO,BEKO,BCTG30500SS,BCTG30500SS,"30"" Built-In Gas Cooktop with 5 Burners",GAS RANGES,COOKTOPS (GAS),,1099.0,1099.0,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,"$1,099",Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,BEKO,BEKO,BCTG36500SS,BCTG36500SS,"36"" Built-In Gas Cooktop with 5 Burners",GAS RANGES,COOKTOPS (GAS),,1299.0,1299.0,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,"$1,299",Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,BEKO,BEKO,BCTI30410,BCTI30410,"30"" Built-In Induction Cooktop with 4 Zones and Touch Control",ELECTRIC RANGES,COOKTOPS (ELECTRIC),,1699.0,1699.0,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,"$1,699",Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,BEKO,BEKO,BCTI36510,BCTI36510,"36"" Built-In Induction Cooktop with 5 Zones and Touch Control",ELECTRIC RANGES,COOKTOPS (ELECTRIC),,1999.0,1999.0,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,"$1,999",Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,BEKO,BEKO,BDV7200X,BDV7200X,"24"" Front-Load Vented Dryer",LAUNDRY,PORTABLE DRYER,,999.0,999.0,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,$999,Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
