Select,Brand,Brand Description,PN,Manufacturer PN,Desc,Category,Subcategory,MSRP,MAP - No Promos,MAP - With Promos,MAP - Just Promos,Market,BB,HD,LOWES,Is Active,On Display,Clearance,In Stock Flag,Get It Today Flag,Best Seller Flag,REGULAR,SALE,SPECIAL,ON SITE,OUT OF CART PRICE,Open Box,SCRATCH N DENT,RENEWED,Special Order,Last Chance,Coming Soon,Black Friday Flag,BLACKFRIDAY,LastChance,NEW_BOX,MinorImperfections,Scratch_Box
false,BLOMB,BLOMBERG APPLIANCES,119240080,,Wok Ring Attachment,ACCESSORIES,MISC RANGE ACCESSORIES,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,BLOMB,BLOMBERG APPLIANCES,1752850100,,Stemware Rack,ACCESSORIES,DISHWASHER ACCESSORIES,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,BLOMB,BLOMBERG APPLIANCES,2992100300,,Universal Stacking Kit,MISC,MISCELLANEOUS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,BLOMB,BLOMBERG APPLIANCES,4874960100,,Replacement water filter,ACCESSORIES,REFRIGERATOR ACCESSORIES,90.0,69.0,69.0,,,,,,Yes,false,false,false,false,false,$90.99,$69,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,BLOMB,BLOMBERG APPLIANCES,BCHP30100SS,,"30"" Under Cabinet Professional Range Hood",HOODS,PROFESSIONAL HOOD,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,BLOMB,BLOMBERG APPLIANCES,BCHS30100SS,,"30"" Under Cabinet Range Hood",HOODS,PROFESSIONAL HOOD,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,BLOMB,BLOMBERG APPLIANCES,BDF30522SS,,"30in Dual Fuel 5 burner range with 5.7 cu ft self clean oven, slide-in style",GAS RANGES,"30"" FREE STANDING GAS RANGE",3770.0,2899.0,2899.0,,,,,,Yes,false,false,false,false,false,"$3,770.99","$2,899",Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,BLOMB,BLOMBERG APPLIANCES,BDFP34550SS,,"30"" Pro-Style Dual Fuel Range",GAS RANGES,"30"" FREE STANDING GAS RANGE",,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,BLOMB,BLOMBERG APPLIANCES,BERU24100SS,,"24"" Freestanding Electric Range",ELECTRIC RANGES,FREESTANDING SMOOTHTOP ELECTRIC RANGE,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,BLOMB,BLOMBERG APPLIANCES,BERU24102SS,,"24in Electric, convection w/fan and circular element, smooth top 4 zone, stainless",ELECTRIC RANGES,FREESTANDING SMOOTHTOP ELECTRIC RANGE,1820.0,1399.0,1399.0,,,,,,Yes,false,false,false,false,false,"$1,820.99","$1,399",Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
