Select,Brand,Brand Description,PN,Manufacturer PN,Desc,Category,Subcategory,MSRP,MAP - No Promos,MAP - With Promos,MAP - Just Promos,Market,BB,HD,LOWES,Is Active,On Display,Clearance,In Stock Flag,Get It Today Flag,Best Seller Flag,REGULAR,SALE,SPECIAL,ON SITE,OUT OF CART PRICE,Open Box,SCRATCH N DENT,RENEWED,Special Order,Last Chance,Coming Soon,Black Friday Flag,BLACKFRIDAY,LastChance,NEW_BOX,MinorImperfections,Scratch_Box
false,CAFEA,CAFE,C2S900P2MS1,C2S900P2MS1,"Café&trade; 30"" Smart Slide-In, Front-Control, Dual-Fuel Range with Warming Drawer",GAS RANGES,SLIDE IN GAS RANGE,3699.0,3699.0,3699.0,,3328.0,3329.99,3328.0,3699.0,Yes,false,false,false,false,false,"$3,699.99","$3,329",Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,CAFEA,CAFE,C2S900P3MD1,C2S900P3MD1,"Café&trade; 30"" Smart Slide-In, Front-Control, Dual-Fuel Range with Warming Drawer",GAS RANGES,SLIDE IN GAS RANGE,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,$,Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,CAFEA,CAFE,C2S900P4MW2,C2S900P4MW2,"Café&trade; 30"" Smart Slide-In, Front-Control, Dual-Fuel Range with Warming Drawer",GAS RANGES,SLIDE IN GAS RANGE,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,$,Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,CAFEA,CAFE,C2S950P2MS1,C2S950P2MS1,"Café&trade; 30"" Smart Slide-In, Front-Control, Dual-Fuel, Double-Oven Range with Convection",GAS RANGES,SLIDE IN GAS RANGE,4099.0,4099.0,4099.0,,3688.0,3689.99,3688.0,4099.0,Yes,false,false,false,false,false,"$4,099.99","$3,689",Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,CAFEA,CAFE,C2S950P3MD1,C2S950P3MD1,"Café&trade; 30"" Smart Slide-In, Front-Control, Dual-Fuel, Double-Oven Range with Convection",GAS RANGES,SLIDE IN GAS RANGE,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,$,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,CAFEA,CAFE,C2S950P4MW2,C2S950P4MW2,"Café&trade; 30"" Smart Slide-In, Front-Control, Dual-Fuel, Double-Oven Range with Convection",GAS RANGES,SLIDE IN GAS RANGE,4299.0,4299.0,4299.0,,3868.0,3869.99,3868.0,4299.0,Yes,false,false,false,false,false,"$4,299.99","$3,869",Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,CAFEA,CAFE,C2Y366P2TS1,C2Y366P2TS1,"Café&trade; 36"" Smart Dual-Fuel Commercial-Style Range with 6 Burners (Natural Gas)",GAS RANGES,PROFESSIONAL GAS RANGE,8199.0,8199.0,8199.0,,7378.0,7379.99,7378.0,8199.0,Yes,false,false,false,false,false,"$8,199.99","$8,199",Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,CAFEA,CAFE,C2Y366P3TD1,C2Y366P3TD1,"Café&trade; 36"" Smart Dual-Fuel Commercial-Style Range with 6 Burners (Natural Gas)",GAS RANGES,PROFESSIONAL GAS RANGE,8399.0,8399.0,8399.0,,7558.0,7559.99,7558.0,8399.0,Yes,false,false,false,false,false,"$8,399.99","$8,399",Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,CAFEA,CAFE,C2Y366P4TW2,C2Y366P4TW2,"Café&trade; 36"" Smart Dual-Fuel Commercial-Style Range with 6 Burners (Natural Gas)",GAS RANGES,PROFESSIONAL GAS RANGE,8399.0,8399.0,8399.0,,7558.0,7559.99,7558.0,8399.0,Yes,false,false,false,false,false,"$8,399.99","$8,399",Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,CAFEA,CAFE,C2Y486P2TS1,C2Y486P2TS1,"Café&trade; 48"" Smart Dual-Fuel Commercial-Style Range with 6 Burners and Griddle (Natural Gas)",GAS RANGES,PROFESSIONAL GAS RANGE,12599.0,12599.0,12599.0,,11338.0,11339.99,11338.0,12599.0,Yes,false,false,false,false,false,"$12,599.99","$12,599",Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,CAFEA,CAFE,C2Y486P3TD1,C2Y486P3TD1,"Café&trade; 48"" Smart Dual-Fuel Commercial-Style Range with 6 Burners and Griddle (Natural Gas)",GAS RANGES,PROFESSIONAL GAS RANGE,12799.0,12799.0,12799.0,,11518.0,11519.99,11518.0,12799.0,Yes,false,false,false,false,false,"$12,799.99","$12,799",Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,CAFEA,CAFE,C2Y486P4TW2,C2Y486P4TW2,"Café&trade; 48"" Smart Dual-Fuel Commercial-Style Range with 6 Burners and Griddle (Natural Gas)",GAS RANGES,PROFESSIONAL GAS RANGE,12799.0,12799.0,12799.0,,11518.0,11519.99,11518.0,12799.0,Yes,false,false,false,false,false,"$12,799.99","$12,799",Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,CAFEA,CAFE,C7CDAAS2PS3,C7CDAAS2PS3,Café&trade; Specialty Drip Coffee Maker,SMALL APPLIANCES,COFFEE MAKERS AND GRINDERS,,299.0,249.0,249.0,299.0,,299.0,,Yes,false,false,false,false,false,Call for Our Best Price,$249,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,CAFEA,CAFE,C7CDAAS3PD3,C7CDAAS3PD3,Café&trade; Specialty Drip Coffee Maker,SMALL APPLIANCES,COFFEE MAKERS AND GRINDERS,,299.0,249.0,249.0,243.48,,243.48,,Yes,false,false,false,false,false,Call for Our Best Price,$249,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
