Select,Brand,Brand Description,PN,Manufacturer PN,Desc,Category,Subcategory,MSRP,MAP - No Promos,MAP - With Promos,MAP - Just Promos,Market,BB,HD,LOWES,Is Active,On Display,Clearance,In Stock Flag,Get It Today Flag,Best Seller Flag,REGULAR,SALE,SPECIAL,ON SITE,OUT OF CART PRICE,Open Box,SCRATCH N DENT,RENEWED,Special Order,Last Chance,Coming Soon,Black Friday Flag,BLACKFRIDAY,LastChance,NEW_BOX,MinorImperfections,Scratch_Box
false,CONSERVATOR,CONSERVATOR,GRH1482TW,,Top Mount Refrigerator - White,REFRIGERATORS,TOP FREEZER FREESTANDING REFRIGERATOR,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,CONSERVATOR,CONSERVATOR,GRLH152SW,,Top Mount Refrigerator - White,REFRIGERATORS,TOP FREEZER FREESTANDING REFRIGERATOR,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,CONSERVATOR,CONSERVATOR,GRLH184TB,,Top Mount Refrigerator - Black,REFRIGERATORS,TOP FREEZER FREESTANDING REFRIGERATOR,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,CONSERVATOR,CONSERVATOR,GRLH184TD,,Top Mount Refrigerator - Stainless Steel - Look,REFRIGERATORS,TOP FREEZER FREESTANDING REFRIGERATOR,,,,,,,,,Yes,false,false,true,false,false,Call for Our Best Price,$699,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,CONSERVATOR,CONSERVATOR,GRLH184TW,,Top Mount Refrigerator - White,REFRIGERATORS,TOP FREEZER FREESTANDING REFRIGERATOR,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,CONSERVATOR,CONSERVATOR,GRM072AB,,Top Mount Refrigerator - Black,REFRIGERATORS,TOP FREEZER FREESTANDING REFRIGERATOR,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,CONSERVATOR,CONSERVATOR,GRM072AD,,Top Mount Refrigerator - Stainless Steel - Look,REFRIGERATORS,TOP FREEZER FREESTANDING REFRIGERATOR,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,CONSERVATOR,CONSERVATOR,GRM072AW,,Top Mount Refrigerator - White,REFRIGERATORS,TOP FREEZER FREESTANDING REFRIGERATOR,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,CONSERVATOR,CONSERVATOR,GRM183QB,,Top Mount Refrigerator - Black,REFRIGERATORS,TOP FREEZER FREESTANDING REFRIGERATOR,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,CONSERVATOR,CONSERVATOR,GRM183QW,,Top Mount Refrigerator - White,REFRIGERATORS,TOP FREEZER FREESTANDING REFRIGERATOR,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,CONSERVATOR,CONSERVATOR,GRM183TB,,Top Mount Refrigerator - Black,REFRIGERATORS,TOP FREEZER FREESTANDING REFRIGERATOR,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,CONSERVATOR,CONSERVATOR,GRM183TD,,Top Mount Refrigerator - Stainless Steel - Look,REFRIGERATORS,TOP FREEZER FREESTANDING REFRIGERATOR,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,CONSERVATOR,CONSERVATOR,GRM183TW,,Top Mount Refrigerator - White,REFRIGERATORS,TOP FREEZER FREESTANDING REFRIGERATOR,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,CONSERVATOR,CONSERVATOR,GRM183UB,,Top Mount Refrigerator - Black,REFRIGERATORS,TOP FREEZER FREESTANDING REFRIGERATOR,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,CONSERVATOR,CONSERVATOR,GRM183UD,,Top Mount Refrigerator - Stainless Steel - Look,REFRIGERATORS,TOP FREEZER FREESTANDING REFRIGERATOR,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
