Select,Brand,Brand Description,PN,Manufacturer PN,Desc,Category,Subcategory,MSRP,MAP - No Promos,MAP - With Promos,MAP - Just Promos,Market,BB,HD,LOWES,Is Active,On Display,Clearance,In Stock Flag,Get It Today Flag,Best Seller Flag,REGULAR,SALE,SPECIAL,ON SITE,OUT OF CART PRICE,Open Box,SCRATCH N DENT,RENEWED,Special Order,Last Chance,Coming Soon,Black Friday Flag,BLACKFRIDAY,LastChance,NEW_BOX,MinorImperfections,Scratch_Box
false,DAN,DANBY,DAC050MB1WDB,DAC050MB1WDB,"Danby 5,000 BTU Window AC in White",AIR CONDITIONERS,"LESS THAN 5,600 BTU AIR CONDITIONER",,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for our best price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,DAN,DANBY,DAC050ME1WDB,DAC050ME1WDB,"Danby 5,000 BTU Window AC in White",AIR CONDITIONERS,"LESS THAN 5,600 BTU AIR CONDITIONER",,,,,171.99,171.99,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,DAN,DANBY,DAC060EB6WDB,DAC060EB6WDB,"Danby 6,000 BTU Window AC in White",AIR CONDITIONERS,"5,700 - 7,400 BTU AIR CONDITIONER",,,,,202.99,210.99,202.99,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,DAN,DANBY,DAC060EB7WDB,DAC060EB7WDB,"Danby 6,000 BTU Window AC in White",AIR CONDITIONERS,"5,700 - 7,400 BTU AIR CONDITIONER",,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,DAN,DANBY,DAC060EE1WDB,DAC060EE1WDB,"Danby 6,000 BTU Window AC in White",AIR CONDITIONERS,"5,700 - 7,400 BTU AIR CONDITIONER",,,,,224.99,224.99,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,DAN,DANBY,DAC080B5WDB,DAC080B5WDB,"Danby 8,000 BTU Window AC with WIFI in White",AIR CONDITIONERS,"7,500-8,900 BTU AIR CONDITIONER",,,,,280.99,295.99,280.99,,Yes,false,false,false,false,false,Call for Our Best Price,Call for our best price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,DAN,DANBY,DAC080B6IWDB6,DAC080B6IWDB-6,"Danby 8,000 BTU U-Shaped Inverter Window Air Conditioner",AIR CONDITIONERS,"7,500-8,900 BTU AIR CONDITIONER",,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,DAN,DANBY,DAC080B7IWDB6,DAC080B7IWDB-6,"Danby 8,000 BTU Window AC in White",AIR CONDITIONERS,"7,500-8,900 BTU AIR CONDITIONER",,,,,419.99,442.99,419.99,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,DAN,DANBY,DAC080B8IWDB6,DAC080B8IWDB-6,"Danby 8,000 BTU Window AC in White",AIR CONDITIONERS,"7,500-8,900 BTU AIR CONDITIONER",,,,,341.99,341.99,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,DAN,DANBY,DAC080EB6WDB,DAC080EB6WDB,"Danby 8,000 BTU Window AC in White",AIR CONDITIONERS,"7,500-8,900 BTU AIR CONDITIONER",,,,,279.99,279.99,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
