Select,Brand,Brand Description,PN,Manufacturer PN,Desc,Category,Subcategory,MSRP,MAP - No Promos,MAP - With Promos,MAP - Just Promos,Market,BB,HD,LOWES,Is Active,On Display,Clearance,In Stock Flag,Get It Today Flag,Best Seller Flag,REGULAR,SALE,SPECIAL,ON SITE,OUT OF CART PRICE,Open Box,SCRATCH N DENT,RENEWED,Special Order,Last Chance,Coming Soon,Black Friday Flag,BLACKFRIDAY,LastChance,NEW_BOX,MinorImperfections,Scratch_Box
false,FORNO,FORNO,FBOEL135830,,"Forno 30"" Built-In Single Wall Oven",ELECTRIC RANGES,SINGLE WALL ELECTRIC OVEN,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,Yes,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,FORNO,FORNO,FBOEL136530,,"Forno 30"" Built-In Double Wall Oven",ELECTRIC RANGES,DOUBLE WALL ELECTRIC OVEN,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,Yes,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,FORNO,FORNO,FCTGS573736,,"FORNO COSSATO ALTA QUALITA 36"" GAS RANGETOP",GAS RANGES,"36"" AND LARGER FREE STANDING GAS RANGE",,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,Yes,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,FORNO,FORNO,FCTGS573748,,"FORNO COSSATO ALTA QUALITA 48"" GAS RANGETOP",GAS RANGES,"36"" AND LARGER FREE STANDING GAS RANGE",,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,Yes,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,FORNO,FORNO,FCTGS575130,,"FORNO SPEZIA ALTA QUALITA 30"" PRO-STYLE GAS RANGETOP",GAS RANGES,PROFESSIONAL GAS RANGE,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,Yes,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,FORNO,FORNO,FCTGS575136,,"FORNO SPEZIA ALTA QUALITA 36"" PRO-STYLE GAS RANGETOP",GAS RANGES,PROFESSIONAL GAS RANGE,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,Yes,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,FORNO,FORNO,FCTGS575148,,"FORNO SPEZIA ALTA QUALITA 48"" PRO-STYLE GAS RANGETOP",GAS RANGES,PROFESSIONAL GAS RANGE,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,Yes,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,FORNO,FORNO,FCTIN054530,,"Lecce 30"" Built-In Touch Control Induction Cooktop",ELECTRIC RANGES,COOKTOPS (ELECTRIC),749.0,,,,,,,,Yes,false,false,false,false,false,$749.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,FORNO,FORNO,FDWBI800424S,,"Forno 24"" Pro-Style Built-In Dishwasher",DISHWASHERS,BUILT IN DISHWASHER,,,,,,,,,Yes,false,false,true,false,false,Call for Our Best Price,$999,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,FORNO,FORNO,FDWBI806724S,,24 inch Stainless Steel Dishwasher with Stainless Steel Tub,DISHWASHERS,BUILT IN DISHWASHER,1299.0,1299.0,999.0,999.0,,,,,Yes,false,false,false,false,false,"$1,299.99",$999,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,FORNO,FORNO,FFFFD190733SB,,"FORNO Bovino 33"" French Door 19 Cu.Ft. Stainless Steel Refrigerator",REFRIGERATORS,FRENCH DOOR FREESTANDING REFRIGERATOR,2259.0,,1699.0,1699.0,,,,,Yes,false,false,false,false,false,"$2,259.99","$1,699",Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,FORNO,FORNO,FFFFD190737SG,,"FORNO Bovino 37"" French Door 19 Cu.Ft. Stainless Steel Refrigerator with decorative grill",REFRIGERATORS,FRENCH DOOR FREESTANDING REFRIGERATOR,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,Yes,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,FORNO,FORNO,FFFFD193328LS,,"Forno FFFFD1933-28LS Upright Freezer, 28"" Width, ENERGY STAR Certified, 13.8 cu. ft. Capacity, Frost Free, Interior Light (Freezer), LED Lighting, Stainless Steel color Refrigerator-Freezer Dual Combination (Left Swing)",REFRIGERATORS,SPECIALTY REFRIGERATOR,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,"$1,299",Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
