Select,Brand,Brand Description,PN,Manufacturer PN,Desc,Category,Subcategory,MSRP,MAP - No Promos,MAP - With Promos,MAP - Just Promos,Market,BB,HD,LOWES,Is Active,On Display,Clearance,In Stock Flag,Get It Today Flag,Best Seller Flag,REGULAR,SALE,SPECIAL,ON SITE,OUT OF CART PRICE,Open Box,SCRATCH N DENT,RENEWED,Special Order,Last Chance,Coming Soon,Black Friday Flag,BLACKFRIDAY,LastChance,NEW_BOX,MinorImperfections,Scratch_Box
false,FRZCCN,FORZACUCINA,FA48GRT1FA36GRT1FA30GRT1,,Telescopic Glide Rack,ACCESSORIES,MISC RANGE ACCESSORIES,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,FRZCCN,FORZACUCINA,FADPH,,Dishwasher Panel,ACCESSORIES,DISHWASHER ACCESSORIES,483.0,429.0,429.0,,,,,,Yes,false,false,false,false,false,$483.99,$429,Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,FRZCCN,FORZACUCINA,FAGP,,Double-Sided Cast Iron Griddle   Grill Plate,ACCESSORIES,GAS RANGE ACCESSORIES,199.0,179.0,179.0,,,,,,Yes,false,false,false,false,false,$199.99,$179,Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,FRZCCN,FORZACUCINA,FAIT48FAIT36FAIT30,,"FASTBACK"" Porcelain Trim",ACCESSORIES,GAS RANGE ACCESSORIES,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,FRZCCN,FORZACUCINA,FAPZS,,Pizza Stone,ACCESSORIES,MISC RANGE ACCESSORIES,219.0,199.0,199.0,,,,,,Yes,false,false,false,false,false,$219.99,$199,Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,FRZCCN,FORZACUCINA,FARGC2FARGC3,,Grates Cover,ACCESSORIES,GAS RANGE ACCESSORIES,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,FRZCCN,FORZACUCINA,FARK3011FARK3018FARK36,,Recirculating Flue Kit,ACCESSORIES,MISC RANGE ACCESSORIES,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,FRZCCN,FORZACUCINA,FASCP,,Slow Cooking Plate,ACCESSORIES,GAS RANGE ACCESSORIES,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,FRZCCN,FORZACUCINA,FAWR,,Wok Adapter,ACCESSORIES,GAS RANGE ACCESSORIES,60.0,49.0,49.0,,,,,,Yes,false,false,false,false,false,$60.99,$49,Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,FRZCCN,FORZACUCINA,FD24DI,,"24"" Fully Integrated Tall Tub Dishwasher",DISHWASHERS,BUILT IN DISHWASHER,1329.0,1199.0,1199.0,,,,,,Yes,false,false,false,false,false,"$1,329.99","$1,199",Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,FRZCCN,FORZACUCINA,FH3011,,30 Professional Under Cabinet Hood,HOODS,DUCTED HOOD,1159.0,1049.0,1049.0,,,,,,Yes,false,false,false,false,false,"$1,159.99","$1,049",Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,FRZCCN,FORZACUCINA,FH3018,,Baffle-Pro Kit,HOODS,DUCTED HOOD,1289.0,1179.0,1179.0,,,,,,Yes,false,false,false,false,false,"$1,289.99","$1,179",Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,FRZCCN,FORZACUCINA,FH3611,,36 Professional Under Cabinet Hood,HOODS,DUCTED HOOD,1299.0,1179.0,1179.0,,,,,,Yes,false,false,false,false,false,"$1,299.99","$1,179",Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,FRZCCN,FORZACUCINA,FH3618,,"36 Professional Wall Hood, 18 Inches Tall",HOODS,DUCTED HOOD,1599.0,1449.0,1449.0,,,,,,Yes,false,false,false,false,false,"$1,599.99","$1,449",Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,FRZCCN,FORZACUCINA,FH3624,,"36 Professional Wall Hood, 24 Inches Tall",HOODS,DUCTED HOOD,1929.0,1749.0,1749.0,,,,,,Yes,false,false,false,false,false,"$1,929.99","$1,749",Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,FRZCCN,FORZACUCINA,FH4818,,"48 Inch Professional Wall Mounted Range Hood, 18 Inches Tall",HOODS,PROFESSIONAL HOOD,1929.0,1699.0,1699.0,,,,,,Yes,false,false,false,false,false,"$1,929.99","$1,699",Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,FRZCCN,FORZACUCINA,FH4824,,"48 Inch Professional Wall Mounted Range Hood, 24 Inches Tall",HOODS,PROFESSIONAL HOOD,2499.0,2249.0,2249.0,,,,,,Yes,false,false,false,false,false,"$2,499.99","$2,249",Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,FRZCCN,FORZACUCINA,FODP30S,,30 Inch Double Dual Convection Electric Wall Oven,ELECTRIC RANGES,DOUBLE WALL ELECTRIC OVEN,6639.0,5999.0,5999.0,,,,,,Yes,false,false,false,false,false,"$6,639.99","$5,999",Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,FRZCCN,FORZACUCINA,FOSP30S,,30 Inch Single Dual Convection Electric Wall Oven,ELECTRIC RANGES,SINGLE WALL ELECTRIC OVEN,4089.0,3699.0,3699.0,,,,,,Yes,false,false,false,false,false,"$4,089.99","$3,699",Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,FRZCCN,FORZACUCINA,FR304DF,,30 Professional Dual Fuel Range,GAS RANGES,PROFESSIONAL GAS RANGE,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,FRZCCN,FORZACUCINA,FR304DFFA30DKB5005,,30 Professional Dual Fuel Range,GAS RANGES,PROFESSIONAL GAS RANGE,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
false,FRZCCN,FORZACUCINA,FR304DFFA30DKB9004,,30 Professional Dual Fuel Range,GAS RANGES,PROFESSIONAL GAS RANGE,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,true,false,false,false,false,false,N/A,N/A,N/A
