Select,Brand,Brand Description,PN,Manufacturer PN,Desc,Category,Subcategory,MSRP,MAP - No Promos,MAP - With Promos,MAP - Just Promos,Market,BB,HD,LOWES,Is Active,On Display,Clearance,In Stock Flag,Get It Today Flag,Best Seller Flag,REGULAR,SALE,SPECIAL,ON SITE,OUT OF CART PRICE,Open Box,SCRATCH N DENT,RENEWED,Special Order,Last Chance,Coming Soon,Black Friday Flag,BLACKFRIDAY,LastChance,NEW_BOX,MinorImperfections,Scratch_Box
false,FRIG,FRIGIDAIRE,01121808,,Frigidaire Ice Cube Tray,ACCESSORIES,REFRIGERATOR ACCESSORIES,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,"=ROUND_DOLLAR(MARKET,9)",N/A,N/A
false,FRIG,FRIGIDAIRE,10FFCLEN02,,Frigidaire ReadyClean&trade; Kitchen Cleaner Bundle,MISC,MISCELLANEOUS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,"=ROUND_DOLLAR(MARKET,9)",N/A,N/A
false,FRIG,FRIGIDAIRE,10FFCTCL02,,Frigidaire ReadyClean&trade; Glass and Ceramic Cooktop Cleaner - 2 Pack,MISC,MISCELLANEOUS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,"=ROUND_DOLLAR(MARKET,9)",N/A,N/A
false,FRIG,FRIGIDAIRE,10FFCTKT01,,Frigidaire ReadyClean&trade; Cooktop Cleaning Kit,MISC,MISCELLANEOUS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,"=ROUND_DOLLAR(MARKET,9)",N/A,N/A
false,FRIG,FRIGIDAIRE,10FFHOME01,,Frigidaire ReadyClean&trade; Probiotic Cleaner Bundle,MISC,MISCELLANEOUS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,"=ROUND_DOLLAR(MARKET,9)",N/A,N/A
false,FRIG,FRIGIDAIRE,10FFKITC01,,Frigidaire ReadyClean&trade; Kitchen Bundle,MISC,MISCELLANEOUS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,"=ROUND_DOLLAR(MARKET,9)",N/A,N/A
false,FRIG,FRIGIDAIRE,10FFKITC02,,Frigidaire ReadyClean&trade; Kitchen Tablet Bundle,MISC,MISCELLANEOUS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,"=ROUND_DOLLAR(MARKET,9)",N/A,N/A
false,FRIG,FRIGIDAIRE,10FFMICF01,,Frigidaire ReadyClean&trade; Microfiber Cleaning Cloths,MISC,MISCELLANEOUS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,"=ROUND_DOLLAR(MARKET,9)",N/A,N/A
false,FRIG,FRIGIDAIRE,10FFOVCL02,,Frigidaire ReadyClean&trade; Oven and Microwave Cleaner - 2 Pack,MISC,MISCELLANEOUS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,"=ROUND_DOLLAR(MARKET,9)",N/A,N/A
false,FRIG,FRIGIDAIRE,10FFPRDT01,,Frigidaire ReadyClean&reg; Dishwasher Cleaner Tablets,MISC,MISCELLANEOUS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,"=ROUND_DOLLAR(MARKET,9)",N/A,N/A
