Select,Brand,Brand Description,PN,Manufacturer PN,Desc,Category,Subcategory,MSRP,MAP - No Promos,MAP - With Promos,MAP - Just Promos,Market,BB,HD,LOWES,Is Active,On Display,Clearance,In Stock Flag,Get It Today Flag,Best Seller Flag,REGULAR,SALE,SPECIAL,ON SITE,OUT OF CART PRICE,Open Box,SCRATCH N DENT,RENEWED,Special Order,Last Chance,Coming Soon,Black Friday Flag,BLACKFRIDAY,LastChance,NEW_BOX,MinorImperfections,Scratch_Box
false,GALANZ,GALANZ,GEWWD13S1SV11,GEWWD13S1SV11,"Galanz 1.3 Cu Ft ExpressWave&trade; Sensor Cooking Microwave Oven with an easy-to-use Express Cooking Knob, Inverter in Stainless Steel",MICROWAVE,COUNTERTOP MICROWAVE,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,GALANZ,GALANZ,GEWWD16S1SV11,GEWWD16S1SV11,Galanz 1.6 Cu Ft ExpressWave&trade; Sensor Cooking Microwave Oven with an easy-to-use Express Cooking Knob in Stainless Steel,MICROWAVE,COUNTERTOP MICROWAVE,,,,,,,,,Yes,false,false,true,false,false,Call for Our Best Price,$139,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,GALANZ,GALANZ,GEWWD22S1SV125,GEWWD22S1SV125,"Galanz 2.2 Cu Ft ExpressWave&trade; Sensor Cooking Microwave Oven with an easy-to-use Express Cooking Knob, Inverter in Stainless Steel",MICROWAVE,COUNTERTOP MICROWAVE,,,,,,,,,Yes,false,false,true,false,false,Call for Our Best Price,$179,Call for Our Best Price,Yes,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,GALANZ,GALANZ,GL17BK,GL17BK,Galanz 1.7 Cu Ft Mini Refrigerator in Black,REFRIGERATORS,COMPACT REFRIGERATOR,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,GALANZ,GALANZ,GL1BO24BKAN,GL1BO24BKAN,"Galanz 24"" Wall Oven in Black",ELECTRIC RANGES,SINGLE WALL ELECTRIC OVEN,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,GALANZ,GALANZ,GL1BO24FSAN,GL1BO24FSAN,"Galanz 24"" Wall Oven in Stainless Steel",ELECTRIC RANGES,SINGLE WALL ELECTRIC OVEN,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,GALANZ,GALANZ,GL1BO24SBAN,GL1BO24SBAN,"Galanz 24"" Wall Oven in Black with Stainless Steel",ELECTRIC RANGES,SINGLE WALL ELECTRIC OVEN,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,GALANZ,GALANZ,GL1CT24AS4G,GL1CT24AS4G,"24"" Gas Cooktop in Stainless Steel",GAS RANGES,COOKTOPS (GAS),,,,,,,,,Yes,false,false,false,false,false,$609.99,$399,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,GALANZ,GALANZ,GL1CT30AS5G,GL1CT30AS5G,"Galanz 30"" Gas Cooktop in Stainless Steel",GAS RANGES,COOKTOPS (GAS),,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,GALANZ,GALANZ,GL1FR24ASSAGN,GL1FR24ASSAGN,Galanz 2.7 Cu Ft Radiant Gas Range in Stainless Steel,GAS RANGES,SLIDE IN GAS RANGE,,,,,,,,,Yes,false,false,true,false,false,"$1,399.99",$999,Call for Our Best Price,Yes,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
