Select,Brand,Brand Description,PN,Manufacturer PN,Desc,Category,Subcategory,MSRP,MAP - No Promos,MAP - With Promos,MAP - Just Promos,Market,BB,HD,LOWES,Is Active,On Display,Clearance,In Stock Flag,Get It Today Flag,Best Seller Flag,REGULAR,SALE,SPECIAL,ON SITE,OUT OF CART PRICE,Open Box,SCRATCH N DENT,RENEWED,Special Order,Last Chance,Coming Soon,Black Friday Flag,BLACKFRIDAY,LastChance,NEW_BOX,MinorImperfections,Scratch_Box
false,KTA,KITCHENAID,107866G,107866G,Juice Bowl for Citrus Juicer (JE) Stand Mixer Attachment,ACCESSORIES,MISC ACCESSORIES,25.4,,,,,,,,Yes,false,false,false,false,false,$25.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,KTA,KITCHENAID,107867G,107867G,Strainer for Citrus Juicer (CE) Stand Mixer Attachment,ACCESSORIES,MISC ACCESSORIES,4.99,,,,,,,,Yes,false,false,false,false,false,$4.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,KTA,KITCHENAID,13030RP,13030RP,Trash Compactor Bag Caddy,ACCESSORIES,MISC ACCESSORIES,19.69,,,,,,,,Yes,false,false,false,false,false,$19.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,KTA,KITCHENAID,1901A,1901A,Ice Machine Drain Pump Kit,ACCESSORIES,REFRIGERATOR ACCESSORIES,555.59,,,,,,,,Yes,false,false,false,false,false,$555.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,KTA,KITCHENAID,1903WH,,Rolling Laundry Supply Cart,DINING ROOM FURNITURE,SERVERS / BUFFETS / SIDEBOARDS,74.29,,,,,,,,Yes,false,false,false,false,false,$74.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,KTA,KITCHENAID,20313148A,,Gas Dryer Connector,ACCESSORIES,LAUNDRY ACCESSORIES,33.49,,,,,,,,Yes,false,false,false,false,false,$33.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,KTA,KITCHENAID,20313248A,,Gas Dryer Connector,ACCESSORIES,LAUNDRY ACCESSORIES,32.79,,,,,,,,Yes,false,false,false,false,false,$32.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,KTA,KITCHENAID,2048KITRC,,Gas Dryer Connector,ACCESSORIES,LAUNDRY ACCESSORIES,45.99,,,,,,,,Yes,false,false,false,false,false,$45.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,KTA,KITCHENAID,2179404KRA,2179404KRA,Refrigerator Beverage Rack,ACCESSORIES,REFRIGERATOR ACCESSORIES,25.09,,,,,,,,Yes,false,false,false,false,false,$25.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,KTA,KITCHENAID,2254352A,2254352A,"Refrigerator Ice Pan, White",ACCESSORIES,REFRIGERATOR ACCESSORIES,18.59,,,,,,,,Yes,false,false,false,false,false,$18.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
