Select,Brand,Brand Description,PN,Manufacturer PN,Desc,Category,Subcategory,MSRP,MAP - No Promos,MAP - With Promos,MAP - Just Promos,Market,BB,HD,LOWES,Is Active,On Display,Clearance,In Stock Flag,Get It Today Flag,Best Seller Flag,REGULAR,SALE,SPECIAL,ON SITE,OUT OF CART PRICE,Open Box,SCRATCH N DENT,RENEWED,Special Order,Last Chance,Coming Soon,Black Friday Flag,BLACKFRIDAY,LastChance,NEW_BOX,MinorImperfections,Scratch_Box
false,LG,LG,10HQ701GBP,,LG Digital X-ray Detector with a-Si TFT,MISC,MISCELLANEOUS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,LG,LG,110UM5JB,,"110"" UM5J-B UHD Digital Signage with High Brightness, Built-in Speakers, WiFi & Bluetooth&reg;",MISC,MISCELLANEOUS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,LG,LG,14HK701GWP,,Digital X-Ray Detector (DXD),MISC,MISCELLANEOUS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,LG,LG,14HQ701GBP,,LG Digital X-ray Detector with a-Si TFT,MISC,MISCELLANEOUS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,LG,LG,14T90QKAAB6U1,,"LG gram 14"" 2in1 Lightweight Laptop, Intel&reg; 12th Gen Core&reg; i5 Evo&trade; Platform, Windows 11 Home, 16GB RAM, 512GB SSD, Black",MISC,MISCELLANEOUS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,LG,LG,14T90QKAAB7U1,,"LG gram 14"" 2in1 Lightweight Laptop, Intel&reg; 12th Gen Core&reg; i7 Evo&trade; Platform, Windows 11 Home, 8GB RAM, 512GB SSD, Black",MISC,MISCELLANEOUS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,LG,LG,14T90QKAAB9U1,,"LG gram 14"" 2in1 Lightweight Laptop, Intel&reg; 12th Gen Core&reg; i7 Evo&trade; Platform, Windows 11 Home, 16GB RAM, 1TB SSD, Black",MISC,MISCELLANEOUS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,LG,LG,14T90QKAAG9U1,,"LG gram 14"" 2in1 Lightweight Laptop, Intel&reg; 12th Gen Core&reg; i7 Evo&trade; Platform, Windows 11 Home, 16GB RAM, 1TB SSD, Green",MISC,MISCELLANEOUS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,LG,LG,14T90QKAPG5U1,,"14'' 2-in-1 16:10 WUXGA Touch IPS gram Laptop with Windows 11 Pro, 16GB LPDDR5, & 512GB Dual SSD slots",MISC,MISCELLANEOUS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,LG,LG,14T90RKAAB6U1,,"LG gram 14"" 2in1 Thin and Lightweight Laptop, Intel&reg; 13th Gen Core&reg; i5 Evo&trade; Platform, Windows 11 Home, 16GB RAM, 512GB SSD, Black",MISC,MISCELLANEOUS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
