Select,Brand,Brand Description,PN,Manufacturer PN,Desc,Category,Subcategory,MSRP,MAP - No Promos,MAP - With Promos,MAP - Just Promos,Market,BB,HD,LOWES,Is Active,On Display,Clearance,In Stock Flag,Get It Today Flag,Best Seller Flag,REGULAR,SALE,SPECIAL,ON SITE,OUT OF CART PRICE,Open Box,SCRATCH N DENT,RENEWED,Special Order,Last Chance,Coming Soon,Black Friday Flag,BLACKFRIDAY,LastChance,NEW_BOX,MinorImperfections,Scratch_Box
false,MDA,MIDEA,1025F0A,,0.9 Cu Ft. 1000W Dial Light Duty Commercial Microwave,MICROWAVE,BUILT IN MICROWAVE,,,,,330.91,,,330.91,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MDA,MIDEA,1025F1A,,0.9 Cu Ft. 1000W Push Button Light Duty Commercial Microwave,MICROWAVE,BUILT IN MICROWAVE,,,,,323.01,,323.01,379.73,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MDA,MIDEA,1025F2A,,0.9 Cu Ft. 1000W Dial and Push Button Commercial Microwave,MICROWAVE,BUILT IN MICROWAVE,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MDA,MIDEA,1034N0A,,1.2 Cu. Ft. 1000W Dial Medium Duty Commercial Microwave,MICROWAVE,BUILT IN MICROWAVE,,,,,508.36,,,508.36,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MDA,MIDEA,1034N1A,,1.2 Cu. Ft. 1000W Push Button Medium Duty Commercial Microwave,MICROWAVE,BUILT IN MICROWAVE,,,,,593.91,,,593.91,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MDA,MIDEA,1134G1A,,1.2 Cu. Ft. 1100W Push Button Commercial Microwave,MICROWAVE,BUILT IN MICROWAVE,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MDA,MIDEA,1217G1A,,0.6 Cu. Ft. 1200W Push Button Heavy Duty Commercial Microwave,MICROWAVE,BUILT IN MICROWAVE,,,,,1276.88,,,1276.88,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MDA,MIDEA,1217G1S,,0.6 Cu Ft. 1200W FlashChef Scan & Go Heavy Duty Microwave,MICROWAVE,BUILT IN MICROWAVE,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MDA,MIDEA,1234G1A,,1.2 Cu. Ft. 1200W Push Button Heavy Duty Commercial Microwave,MICROWAVE,BUILT IN MICROWAVE,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MDA,MIDEA,1434N0A,,1.2 Cu. Ft. 1400W Dial Medium Duty Commercial Microwave,MICROWAVE,BUILT IN MICROWAVE,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MDA,MIDEA,1434N1A,,1.2 Cu. Ft. 1400W Push Button Medium Duty Commercial Microwave,MICROWAVE,BUILT IN MICROWAVE,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MDA,MIDEA,1817G1A,,0.6 Cu. Ft. 1800W Push Button Heavy Duty Commercial Microwave,MICROWAVE,BUILT IN MICROWAVE,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MDA,MIDEA,1834G1A,,1.2 Cu. Ft. 1800W Push Button Heavy Duty Commercial Microwave,MICROWAVE,BUILT IN MICROWAVE,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MDA,MIDEA,2117G1A,,0.6 Cu. Ft. 2100W Push Button Heavy Duty Commercial Microwave,MICROWAVE,BUILT IN MICROWAVE,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MDA,MIDEA,2134G1A,,1.2 Cu. Ft. 2100W Push Button Heavy Duty Commercial Microwave,MICROWAVE,BUILT IN MICROWAVE,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MDA,MIDEA,AKTW10CR51,,"Arctic King 10,000 BTU Through the Wall A/C with Remote",AIR CONDITIONERS,WALLFIT AIR CONDITIONER,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MDA,MIDEA,AKTW10CR52,,"Arctic King 10,000 BTU Through the Wall A/C with Remote",AIR CONDITIONERS,WALLFIT AIR CONDITIONER,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MDA,MIDEA,AKTW10CR61,,"Arctic King 10,000 BTU Through the Wall A/C with Remote",AIR CONDITIONERS,WALLFIT AIR CONDITIONER,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
