Select,Brand,Brand Description,PN,Manufacturer PN,Desc,Category,Subcategory,MSRP,MAP - No Promos,MAP - With Promos,MAP - Just Promos,Market,BB,HD,LOWES,Is Active,On Display,Clearance,In Stock Flag,Get It Today Flag,Best Seller Flag,REGULAR,SALE,SPECIAL,ON SITE,OUT OF CART PRICE,Open Box,SCRATCH N DENT,RENEWED,Special Order,Last Chance,Coming Soon,Black Friday Flag,BLACKFRIDAY,LastChance,NEW_BOX,MinorImperfections,Scratch_Box
false,MIE,MIELE,ABL110STAINLESSSTEEL,10271160,ABL 110 - Filler panel for the plinth area for visual height adjustment of 78 cm units.,ACCESSORIES,DISHWASHER ACCESSORIES,140.0,,,,,,,,Yes,false,false,false,false,false,$140.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MIE,MIELE,ABL50STAINLESSSTEEL,9378030,"ABL 50 - Filler panel for the plinth area For visual height adjustment of 28"" units.",ACCESSORIES,DISHWASHER ACCESSORIES,70.0,,,,,,,,Yes,false,false,false,false,false,$70.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MIE,MIELE,ADAPTERNEMA14302X515,10983750,Adapter NEMA 14-30/2x5-15 - NEMA Adapter adapter for connecting W1 and T1 to a 208/240 V line,MISC,MISCELLANEOUS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MIE,MIELE,ADDITIONALFILTER,9670914,Additional filter - for tumble dryers,ACCESSORIES,LAUNDRY ACCESSORIES,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MIE,MIELE,APCL001STAINLESSSTEEL,11167420,"APCL 001 - Stacking kit, stainless steel For secure installation as a washer-dryer stack.",ACCESSORIES,LAUNDRY ACCESSORIES,225.0,,,,,,,,Yes,false,false,false,false,false,$225.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MIE,MIELE,APCL002OCTOBLUE,11318740,"APCL 002 - Open toe-kick, height 5 15/16"" (15 cm) For ergonomic loading and unloading of the washing machine and tumble dryer.",ACCESSORIES,LAUNDRY ACCESSORIES,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MIE,MIELE,APCL003OCTOBLUE,11318780,"APCL 003 - Open toe-kick, height 11 13/16"" (30 cm) For ergonomic loading and unloading of the washing machine and tumble dryer.",ACCESSORIES,LAUNDRY ACCESSORIES,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MIE,MIELE,APCL005STAINLESSSTEEL,11318800,"APCL 005 - Box toe-kick, 11 13/16"" (30 cm) high For ergonomic loading and unloading of the washing machine and tumble dryer.",ACCESSORIES,LAUNDRY ACCESSORIES,680.0,,,,,,,,Yes,false,false,false,false,false,$680.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MIE,MIELE,APCL007OCTOBLUE,11318820,"APCL 007 - Open toe-kick, height18 1/2"" (47 cm) For ergonomic loading and unloading of the washing machine and tumble dryer.",ACCESSORIES,LAUNDRY ACCESSORIES,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MIE,MIELE,APCL011STAINLESSSTEEL,11318830,"APCL 011 - Box toe-kick, height 18 1/2"" (47 cm) For ergonomic loading and unloading of the washing machine and tumble dryer.",ACCESSORIES,LAUNDRY ACCESSORIES,850.0,,,,,,,,Yes,false,false,false,false,false,$850.99,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
