Select,Brand,Brand Description,PN,Manufacturer PN,Desc,Category,Subcategory,MSRP,MAP - No Promos,MAP - With Promos,MAP - Just Promos,Market,BB,HD,LOWES,Is Active,On Display,Clearance,In Stock Flag,Get It Today Flag,Best Seller Flag,REGULAR,SALE,SPECIAL,ON SITE,OUT OF CART PRICE,Open Box,SCRATCH N DENT,RENEWED,Special Order,Last Chance,Coming Soon,Black Friday Flag,BLACKFRIDAY,LastChance,NEW_BOX,MinorImperfections,Scratch_Box
false,MONOGRAM,MONOGRAM,FORGE02PACK,,Monogram Forge Heated Ice Press,ACCESSORIES,MISC ACCESSORIES,1650.0,,,,,,,,Yes,false,false,false,false,false,"$1,650.99",Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MONOGRAM,MONOGRAM,JXFLUSH1,,MONOGRAM FLUSH MOUNT KIT,ACCESSORIES,MISC RANGE ACCESSORIES,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MONOGRAM,MONOGRAM,UCC15NJII,,Ice Maker 15-Inch - Clear Ice,FREEZERS,ICE MAKERS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MONOGRAM,MONOGRAM,UCC15NPRII,,Ice Maker 15-Inch - Clear Ice,FREEZERS,ICE MAKERS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MONOGRAM,MONOGRAM,UCG1500NBB,,"Universal 15"" Built-In Compactor",COMPACTORS,TRASH COMPACTORS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MONOGRAM,MONOGRAM,UCG1500NWW,,"Universal 15"" Built-In Compactor",COMPACTORS,TRASH COMPACTORS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MONOGRAM,MONOGRAM,UCG1510NII,,"Universal 15"" Built-In Compactor",COMPACTORS,TRASH COMPACTORS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MONOGRAM,MONOGRAM,UCG1520NSS,,"Universal 15"" Built-In Compactor",COMPACTORS,TRASH COMPACTORS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MONOGRAM,MONOGRAM,UCG1600LBB,,"Universal 15"" Built-In Compactor",COMPACTORS,TRASH COMPACTORS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MONOGRAM,MONOGRAM,UCG1600LWW,,"Universal 15"" Built-In Compactor",COMPACTORS,TRASH COMPACTORS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MONOGRAM,MONOGRAM,UCG1650LII,,"Universal 15"" Built-In Compactor",COMPACTORS,TRASH COMPACTORS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,MONOGRAM,MONOGRAM,UCG1680LSS,,"Universal 15"" Built-In Compactor",COMPACTORS,TRASH COMPACTORS,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
