Select,Brand,Brand Description,PN,Manufacturer PN,Desc,Category,Subcategory,MSRP,MAP - No Promos,MAP - With Promos,MAP - Just Promos,Market,BB,HD,LOWES,Is Active,On Display,Clearance,In Stock Flag,Get It Today Flag,Best Seller Flag,REGULAR,SALE,SPECIAL,ON SITE,OUT OF CART PRICE,Open Box,SCRATCH N DENT,RENEWED,Special Order,Last Chance,Coming Soon,Black Friday Flag,BLACKFRIDAY,LastChance,NEW_BOX,MinorImperfections,Scratch_Box
false,SAMSUNG,SAMSUNG,AX26BG3100GGAA,AX26BG3100GGAA,Bluesky Compact Air Purifier,SMALL APPLIANCES,AIR PURIFIER,,349.99,349.99,349.99,,,,,Yes,false,false,false,false,false,$349.99,$349,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,SAMSUNG,SAMSUNG,AX300T9080S,AX300T9080S/AA,Cube Smart Air Purifier with Wind-Free Air Purification in Honed Silver,SMALL APPLIANCES,AIR PURIFIER,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,SAMSUNG,SAMSUNG,AX300T9080W,AX300T9080W/AA,Cube Smart Air Purifier with Wind-Free Air Purification in Airy White,SMALL APPLIANCES,AIR PURIFIER,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,SAMSUNG,SAMSUNG,AX350A9350G,AX350A9350G/AA,Bespoke Cube Air Purifier in Grey,SMALL APPLIANCES,AIR PURIFIER,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,SAMSUNG,SAMSUNG,AX350A9350N,AX350A9350N/AA,Bespoke Cube Air Purifier in Forest Green,SMALL APPLIANCES,AIR PURIFIER,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,SAMSUNG,SAMSUNG,BRF365200AP,BRF365200AP/AA,"21 cu ft. Capacity 3-Door French Door Panel Ready 36"" Built-In Chef Collection Refrigerator",REFRIGERATORS,FRENCH DOOR BUILT IN REFRIGERATOR,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,SAMSUNG,SAMSUNG,BRF425200AP,BRF425200AP/AA,"24 cu ft. Capacity 4-Door French Door Panel Ready 42"" Built-In Chef Collection Refrigerator",REFRIGERATORS,FRENCH DOOR BUILT IN REFRIGERATOR,,,,,8999.0,8999.0,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,SAMSUNG,SAMSUNG,DV22K6800EW,DV22K6800EW/A1,4.0 cu. ft. Capacity Electric Dryer with Sensor Dry in White,LAUNDRY,PORTABLE DRYER,,,,,,,,,Yes,false,false,true,false,false,"$1,049.99",$599,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,$599
false,SAMSUNG,SAMSUNG,DV22N6800HW,DV22N6800HW/A2,4.0 cu. ft. Capacity Heat Pump Dryer with Sensor Dry in White,LAUNDRY,PORTABLE DRYER,,,,,1169.99,1169.99,,1299.0,Yes,false,false,true,false,false,"$1,249.99",$599,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,SAMSUNG,SAMSUNG,DV22N6850HX,DV22N6850HX/A2,4.0 cu. ft. Heat Pump Dryer with Smart Control in Inox Grey,LAUNDRY,FRONT LOAD ELECTRIC DRYER,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,SAMSUNG,SAMSUNG,DV25B6900EW,DV25B6900EW/A2,4.0 cu. ft. Electric Dryer with AI Smart Dial and Wi-Fi Connectivity in White,LAUNDRY,FRONT LOAD ELECTRIC DRYER,,1099.0,1003.0,1003.0,898.0,,898.0,999.0,Yes,false,false,false,false,false,"$1,099.99","$1,003",Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
