Select,Brand,Brand Description,PN,Manufacturer PN,Desc,Category,Subcategory,MSRP,MAP - No Promos,MAP - With Promos,MAP - Just Promos,Market,BB,HD,LOWES,Is Active,On Display,Clearance,In Stock Flag,Get It Today Flag,Best Seller Flag,REGULAR,SALE,SPECIAL,ON SITE,OUT OF CART PRICE,Open Box,SCRATCH N DENT,RENEWED,Special Order,Last Chance,Coming Soon,Black Friday Flag,BLACKFRIDAY,LastChance,NEW_BOX,MinorImperfections,Scratch_Box
false,SHP,SHARP,BP50C26,BP-50C26,BP-50C26 26 ppm B&W and Color networked digital MFP,PRINTERS,MULTIFUNCTION / ALL-IN-ONE PRINTER,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,SHP,SHARP,BP50C31,BP-50C31,BP-50C31 31 ppm B&W and Color networked digital MFP,PRINTERS,MULTIFUNCTION / ALL-IN-ONE PRINTER,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,SHP,SHARP,BP50C36,BP-50C36,BP-50C36 36 ppm B&W and Color networked digital MFP,PRINTERS,MULTIFUNCTION / ALL-IN-ONE PRINTER,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,SHP,SHARP,BP50C45,BP-50C45,BP-50C45 45 ppm B&W and Color networked digital MFP,PRINTERS,MULTIFUNCTION / ALL-IN-ONE PRINTER,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,SHP,SHARP,BP50C55,BP-50C55,BP-50C55 55 ppm B&W and Color networked digital MFP,PRINTERS,MULTIFUNCTION / ALL-IN-ONE PRINTER,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,SHP,SHARP,BP50C65,BP-50C65,BP-50C65 65 ppm B&W and Color networked digital MFP,PRINTERS,MULTIFUNCTION / ALL-IN-ONE PRINTER,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,SHP,SHARP,BP50M26,BP-50M26,BP-50M26 26 ppm B&W networked digital MFP,PRINTERS,MULTIFUNCTION / ALL-IN-ONE PRINTER,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,SHP,SHARP,BP50M31,BP-50M31,BP-50M31 31 ppm B&W networked digital MFP,PRINTERS,MULTIFUNCTION / ALL-IN-ONE PRINTER,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,SHP,SHARP,BP50M36,BP-50M36,BP-50M36 36 ppm B&W networked digital MFP,PRINTERS,MULTIFUNCTION / ALL-IN-ONE PRINTER,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,SHP,SHARP,BP50M45,BP-50M45,BP-50M45 45 ppm B&W networked digital MFP,PRINTERS,MULTIFUNCTION / ALL-IN-ONE PRINTER,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,Call for Our Best Price,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
