Select,Brand,Brand Description,PN,Manufacturer PN,Desc,Category,Subcategory,MSRP,MAP - No Promos,MAP - With Promos,MAP - Just Promos,Market,BB,HD,LOWES,Is Active,On Display,Clearance,In Stock Flag,Get It Today Flag,Best Seller Flag,REGULAR,SALE,SPECIAL,ON SITE,OUT OF CART PRICE,Open Box,SCRATCH N DENT,RENEWED,Special Order,Last Chance,Coming Soon,Black Friday Flag,BLACKFRIDAY,LastChance,NEW_BOX,MinorImperfections,Scratch_Box
false,THRK,THOR KITCHEN,ARE30,ARE30,30 Inch Contemporary Professional Electric Range - Are30,ELECTRIC RANGES,"30"" FREESTANDING COIL ELECTRIC RANGE",,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,$,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,THRK,THOR KITCHEN,ARE36,ARE36,36 Inch Contemporary Professional Electric Range - Are36,ELECTRIC RANGES,"36"" AND LARGER FREESTANDING COIL RANGE",,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,$,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,THRK,THOR KITCHEN,ARG30,ARG30,30 Inch Contemporary Professional Gas Range In Stainless Steel - Arg30  Arg30lp,GAS RANGES,PROFESSIONAL GAS RANGE,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,$,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,THRK,THOR KITCHEN,ARG30LP,ARG30LP,30 Inch Contemporary Professional Gas Range In Stainless Steel - Arg30  Arg30lp - Liquid Propane,GAS RANGES,PROFESSIONAL GAS RANGE,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,$,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,THRK,THOR KITCHEN,ARG36,ARG36,36 Inch Contemporary Professional Gas Range In Stainless Steel - Arg36  Arg36lp,GAS RANGES,PROFESSIONAL GAS RANGE,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,$,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,THRK,THOR KITCHEN,ARG36LP,ARG36LP,36 Inch Contemporary Professional Gas Range In Stainless Steel - Arg36  Arg36lp - Liquid Propane,GAS RANGES,PROFESSIONAL GAS RANGE,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,$,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,THRK,THOR KITCHEN,CB0001,CB0001,Bamboo Cutting Board,ACCESSORIES,MISC RANGE ACCESSORIES,99.0,59.0,59.0,,,,,,Yes,false,false,false,false,false,$99.99,$,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,THRK,THOR KITCHEN,FT05,FT05,Charcoal Filter for Trh Range Hood,ACCESSORIES,MISC RANGE ACCESSORIES,99.0,45.0,45.0,,,,,,Yes,false,false,false,false,false,$99.99,$,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,THRK,THOR KITCHEN,FT07,FT07,Charcoal Filter for Hrh07 Range Hood,ACCESSORIES,MISC RANGE ACCESSORIES,,,,,,,,,Yes,false,false,false,false,false,Call for Our Best Price,$,Call for Our Best Price,No,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
false,THRK,THOR KITCHEN,HDW2401SS,HDW2401SS,24 Inch Built-in Dishwasher In Stainless Steel,DISHWASHERS,BUILT IN DISHWASHER,1499.0,1149.0,1149.0,,1149.0,1149.99,,1149.0,Yes,true,false,false,false,false,"$1,499.99","$1,149",Call for Our Best Price,Yes,Call for Our Best Price,false,false,false,false,false,false,false,false,false,N/A,N/A,N/A
